GROUP	ALGO	K	C	LAMBDA	SPEARMAN_CORR	SPEARMAN_P	CONF_INT_LOWER	CONF_INT_UPPER
QA1		7	0.9	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		8	0.9	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		9	0.9	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QA1		10	0.9	0.9	0.863225872	0.001293815	0.594224058	0.95853597
QB1		5	0.7	1	0.857146817	0.00152784	0.578891154	0.956594377
QB1		6	0.7	1	0.857146817	0.00152784	0.578891154	0.956594377
QB1		7	0.7	1	0.857146817	0.00152784	0.578891154	0.956594377
QB1		8	0.7	1	0.857146817	0.00152784	0.578891154	0.956594377
QB1		9	0.7	1	0.857146817	0.00152784	0.578891154	0.956594377
QB1		10	0.7	1	0.857146817	0.00152784	0.578891154	0.956594377
QB1		5	0.9	1	0.857146817	0.00152784	0.578891154	0.956594377
QB1		6	0.9	1	0.857146817	0.00152784	0.578891154	0.956594377
QB1		7	0.9	1	0.857146817	0.00152784	0.578891154	0.956594377
QB4		5	0.9	0.2	0.857142857	0.006530017	0.498173505	0.965282629
QB4		7	0.9	0.2	0.857142857	0.006530017	0.498173505	0.965282629
QB4		2	0.9	0.3	0.857142857	0.006530017	0.498173505	0.965282629
QB4		4	0.9	0.3	0.857142857	0.006530017	0.498173505	0.965282629
QB4		6	0.9	0.3	0.857142857	0.006530017	0.498173505	0.965282629
QB4		8	0.9	0.3	0.857142857	0.006530017	0.498173505	0.965282629
QB4		2	0.9	0.4	0.857142857	0.006530017	0.498173505	0.965282629
QB4		2	0.9	0.5	0.857142857	0.006530017	0.498173505	0.965282629
QA4		5	0.9	0.5	0.857142857	0.006530017	0.498173505	0.965282629
QA4		7	0.9	0.5	0.857142857	0.006530017	0.498173505	0.965282629
QA4		9	0.9	0.5	0.857142857	0.006530017	0.498173505	0.965282629
QA4		4	0.9	0.6	0.857142857	0.006530017	0.498173505	0.965282629
QA4		5	0.9	0.6	0.857142857	0.006530017	0.498173505	0.965282629
QA4		6	0.9	0.6	0.857142857	0.006530017	0.498173505	0.965282629
QA4		7	0.9	0.6	0.857142857	0.006530017	0.498173505	0.965282629
QA4		8	0.9	0.6	0.857142857	0.006530017	0.498173505	0.965282629
QA4		9	0.9	0.6	0.857142857	0.006530017	0.498173505	0.965282629
QA4		10	0.9	0.6	0.857142857	0.006530017	0.498173505	0.965282629
QB4		2	0.3	0.7	0.857142857	0.006530017	0.498173505	0.965282629
QB4		3	0.3	0.7	0.857142857	0.006530017	0.498173505	0.965282629
QB4		4	0.3	0.7	0.857142857	0.006530017	0.498173505	0.965282629
QB4		5	0.3	0.7	0.857142857	0.006530017	0.498173505	0.965282629
QB4		6	0.3	0.7	0.857142857	0.006530017	0.498173505	0.965282629
QB4		7	0.3	0.7	0.857142857	0.006530017	0.498173505	0.965282629
QB4		8	0.3	0.7	0.857142857	0.006530017	0.498173505	0.965282629
QB4		9	0.3	0.7	0.857142857	0.006530017	0.498173505	0.965282629
QB4		10	0.3	0.7	0.857142857	0.006530017	0.498173505	0.965282629
QB4		2	0.3	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		3	0.3	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		4	0.3	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		5	0.3	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		6	0.3	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		7	0.3	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		8	0.3	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		9	0.3	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		10	0.3	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		3	0.5	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		4	0.5	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		5	0.5	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		6	0.5	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		7	0.5	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		8	0.5	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		9	0.5	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		10	0.5	0.8	0.857142857	0.006530017	0.498173505	0.965282629
QB4		2	0.3	0.9	0.857142857	0.006530017	0.498173505	0.965282629
QB4		2	0.5	0.9	0.857142857	0.006530017	0.498173505	0.965282629
QB4		2	0.7	0.9	0.857142857	0.006530017	0.498173505	0.965282629
QB4		2	0.5	1	0.857142857	0.006530017	0.498173505	0.965282629
QB4		3	0.5	1	0.857142857	0.006530017	0.498173505	0.965282629
QB4		4	0.5	1	0.857142857	0.006530017	0.498173505	0.965282629
QB4		5	0.5	1	0.857142857	0.006530017	0.498173505	0.965282629
QB4		6	0.5	1	0.857142857	0.006530017	0.498173505	0.965282629
QB4		7	0.5	1	0.857142857	0.006530017	0.498173505	0.965282629
QB4		8	0.5	1	0.857142857	0.006530017	0.498173505	0.965282629
QB4		9	0.5	1	0.857142857	0.006530017	0.498173505	0.965282629
QB4	simrank	10	0.5	1	0.857142857	0.006530017	0.498173505	0.965282629
QB4		2	0.7	1	0.857142857	0.006530017	0.498173505	0.965282629
QB4		3	0.7	1	0.857142857	0.006530017	0.498173505	0.965282629
QB4		4	0.7	1	0.857142857	0.006530017	0.498173505	0.965282629
QB4		2	0.9	1	0.857142857	0.006530017	0.498173505	0.965282629
QB4		3	0.9	1	0.857142857	0.006530017	0.498173505	0.965282629
QB1		3	0.3	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		4	0.3	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		5	0.3	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		6	0.3	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		7	0.3	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		8	0.3	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		9	0.3	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		10	0.3	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		2	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QA1		3	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		3	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QA1		4	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		4	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QA1		5	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		5	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QA1		6	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		6	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QA1		7	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		7	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QA1		8	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		8	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QA1		9	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		9	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QA1		10	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		10	0.5	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		2	0.7	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QA1		3	0.7	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		3	0.7	0.8	0.851067761	0.00179113	0.563752535	0.954643915
QB1		4	0.7	0.8	0.851067761	0.00179113	0.563752535	0.954643915
