ALGO	QUESTION	K	C	L	W_MEAN_RHO	CONF_INT_GAP	RHO_LOWER	RHO_UPPER	ST_DEV	ST_ERR	Z_SCORE	COMB_P	RHO_RANGE
	ALL	4	0.3	0.3	0.633522712	0.101894243	0.531628469	0.735416955	0.11624615	0.051986859	12.18620878	3.68E-34	0.452 - 0.778
	ALL	5	0.3	0.3	0.633522712	0.101894243	0.531628469	0.735416955	0.11624615	0.051986859	12.18620878	3.68E-34	0.452 - 0.778
	ALL	6	0.3	0.3	0.633522712	0.101894243	0.531628469	0.735416955	0.11624615	0.051986859	12.18620878	3.68E-34	0.452 - 0.778
	ALL	7	0.3	0.3	0.633522712	0.101894243	0.531628469	0.735416955	0.11624615	0.051986859	12.18620878	3.68E-34	0.452 - 0.778
	ALL	8	0.3	0.3	0.633522712	0.101894243	0.531628469	0.735416955	0.11624615	0.051986859	12.18620878	3.68E-34	0.452 - 0.778
	ALL	9	0.3	0.3	0.633522712	0.101894243	0.531628469	0.735416955	0.11624615	0.051986859	12.18620878	3.68E-34	0.452 - 0.778
	ALL	10	0.3	0.3	0.633522712	0.101894243	0.531628469	0.735416955	0.11624615	0.051986859	12.18620878	3.68E-34	0.452 - 0.778
	ALL	0	0.5	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.5	0.3	0.639554458	0.081371221	0.558183237	0.720925679	0.09283244	0.041515929	15.40503784	1.51E-53	0.548 - 0.778
	ALL	2	0.5	0.3	0.615511924	0.150069892	0.465442031	0.765581816	0.171207388	0.076566271	8.038943409	9.06E-16	0.286 - 0.778
	ALL	3	0.5	0.3	0.659554458	0.085800167	0.573754291	0.745354625	0.097885207	0.043775595	15.06671593	2.68E-51	0.524 - 0.778
